titles,reviews,ratings
"
Samsung M13  5G Phone  is not Good. Every  thing is slow .
","
I like  Samsung  but  Samsung M13  5G Phone  is not Good. Every  thing is slow . apps  are not  work  smoothly. So I think  you should  not buy it. Present time Samsung phone quality  is very poor  they should improve it . Present  time  Chinese  companies  phone  work  better  than  Samsung  but I hate Chinese  companies.
",2
"
mediocre laggy device
","
I bought this for my dad who is currently using M21 1st edition. Let me list down pros and consPros:1. 6000 mah battery2. Branded device. Current M21 is already running in android 12 from android 10. So future updates is not an issue. Atleast we can expect 2 major updates.3. Charger included in box (15w)Cons:1. Lag lag lag. Even the UI transition every thing is lagging like hell. I dont know how it passed QC. Basic operations like going to contacts, app view , setting everything lags like hell.2. Device feels heavy due to 6000mah battery3.  very very mediocre camera. Okaish output. I am not expecting output like iphone or samsung premium mobiles. But atleast equal to the competitors like redmi at same price range.4. They should move out of 15w charger to atleast 25w qualcomm support. Due to large battery capacity takes long time to charge device to full.5. Loading web pages with lots of images is going to be a problem. For e.g., some people have google news as default home page. For them its going to be really slow.6. Missing amoled which is thr in current m21.Verdict: If you need a branded device at 11 to 14k budget then go to this device. If not go to redmi 10s or iqoo or poco mobiles as they offer better value of money. As soon as I held the device it felt little bit heavy.
",2
"
Good Buget Smart Phone But *Very Slow*
","
I Ordered This Mobile for My father Just for General Usage and it is Very Good Camera , Sound , Battery all is Very Good But the main Problem is that This Phone is Very Slow. all apps take so much time to open and all over processing is SlowCamera 3.5/5Sound 4/5Build Quality 4/5Processor 2.5/5Fingerprint Sensor 4/5
",2
"
Photo hanging all time
","
Photo hanging all time and very slow. Camera is stuck with the last image taken and not moving back and forth
",2
"
Features are not as expected
","
Auto Brightness is not working properlyPhone hangs when watching videos in YouTube.Poor performance of the ramOverall the UX User Experience is not good
",2
"
Performance
","
Samsung Galaxy M13 5G offers an amazing PLS LCD-type display. It has a size of 6.5-inches and produces amazing visuals through its 270ppi pixel density and 1600x 720 pixels density. It also has a 90Hz refresh rate that ensures a smooth scrolling experience...Totally...it'd Very  Superb
",2
"
Internet and system
","
Internet not working,battery quick drying, system is very poor,look not bad,fingerprint not bad,jio network problem,phone is Vodafone operator,
",2
"
Very slow and oversized phone.
","
Fingerprint  works slowly. Sometimes YouTube stop abruptly. You must buying it for your parents but I suggest you to buy RedMi or realme. Because it is too slow.
",2
"
No sensation in vicinity, no gesture emergency light on like Motorola, rather slow ...
","
No sensors in vicinity, no gesture flashlight on like Motorola and slow
",2
"
Camera is very poor
","
Overall phone is ok, but camera quality is not good
",2
"
Good
","
👍
",3
"
Best for battery
","
Battery life is longer than any other phone in this price.Processor is not that good in performance.In low budget it is good product
",3
"
Very good mobile
","
Very good mobile
",3
"
Not some basic features
","
Costly and no screen mirroring feature please add if possible and anight camera very bad and say light camera is good
",3
"
Average quality
","
Quality is average. As we compare with others brands smartphone at this price range they give better specifications
",3
"
Okey according to price
","
Worst packaging from AmazonSmartphone packed in a ordinary long cover .Phone is okay according to the priceDecent camera2day battery backup in extreme usageNegative sideLot of bugs in software side proximity and tap to wake up not working all time may be solved by updatesOverall phone is good for basic users
",3
"
CAUTION:PLS READ ND THEN THINK TO BUY
","
Don't buy it...I have bought phn from Amazon thrice...but in previous 2times there was no issue...now in the 3rd time I have bought this phn everything is alright but YouTube is lagging very much...so I went to the app and tried to return the phn...but Amazon didn't allow me to return the product as they were suggesting to book an appointment with their technician but they didn't have any technician present in this 1 week return time...so that's why I can't return the product now I have to use it...don't know whether it will show any more lags on other apps☹️☹️☹️so guys may be the price is low nd the offer seems good but I would again suggest u to think again before buying any phn not only this
",3
"
Not sure why phone is not getting charged.
","
Overall phone is good ...but getting charging issue within short time..
",3
"
Device performance
","
battery life, fingerprint reader are good. But there is lot of noise while taking foto in low light condition.One must also look the performance of the device. For the price range it's ok but there is drop in performance and frame rate while scrolling through Google news and youtube. Not only these there are lots of lag while using. I have been using m13 4g for 7 days. If you want to buy then go for the M13 5g model which offer more fluidity since it runs on MT D700 (7nm technology) which is more better performance  the exynos 850. Think carefully while buying.
",3
"
Nyc
","
Ok
",3
"
Good
","
Good
",4
"
Good
","
Good
",4
"
Good phone for the price
","
I have not tried the camera but the rest is good,battery is good. Using it for two days found the phone to be good.
",4
"
Camera
","
Front Camera is not done. And baterry fitted in min 6000 mah
",4
"
Value for money @ rs12,000
","
Need improvement of one ui design.Otherwise good mobile for normal use.
",4
"
Great product under 15000
","
Camera,touch and screen quality is good
",4
"
The Best one
","
The best...
",4
"
Good phone
","
Normal uses best phone
",4
"
According to amount mobile is good
","
Battery life is good but mobile work slowly
",4
"
Some dissatisfied samsung M13 mobile functions
","
Screen double touch to wake on screen not working properly, shortcut screen shot not available like palm/ 3 finger, screen recorder not available.
",4
"
Good 👍
","
I feel very happy battery 🔋 life and camera 📷  quality is very good
",5
"
Good phone for basic usage
","
Like the look of mobile and the performance
",5
"
Very Good product
","
Mention the above are Good to use
",5
"
Thats a afortable and advanced in that price
","
Thats a afortable and advanced in that price
",5
"
Good mobile
","
According to price the product is superb.
",5
"
Good quality phone at decent price
","
Nice phone with decent camera quality.value for money
",5
"
Good one for the price range!
","
Efficient and helpful for the price range. Camera is good. Battery - as of now working fine
",5
"
Super Mobile better that price
","
Good mobile and over all good
",5
"
Best Budget Phone 4G version only
","
With the Amazon deals I got it cheaper than market and Samsung has improved with basic models too, runs fine with no hangs till now.
",5
"
Superb mobile
","
Must buy it. 5star quality of display
",5
"
Worst service provided by Amazon Don't buy this.
","
Please , Don't buy this product ""samsung galaxy M13"" specially from Amazon.This product I have purchased from Amazon, I faced the problem  .....The mobile is being hanged continuously and after inserting the sim the network is not showing........This problem I have discussed with customer care and first of all I wanted to return this product and I wanted to take my refund back but the thing is what they started a process like to send the technician to delivery address and after that the technician called that and we told him to visit our address and he forced not to come on delivery address. According to technician he said he will resolved the issue on call.....one application we installed that he want for testing purpose after that he sent screen-shot on my personal mobile number in that he had selected hardware issue and said that now you can return the product. But the main thing is I am unable to return this because there is no option available for this ...I tried to call the technician again, he is not recieving my call....so called customer care again....... we talked with customer care and what they said we will send the technician again...but we want our refund back but they forced me to send the technician again and repeat the process again.....But why should I do this process again this is not our fault.....I want my refund back.This product I had purchased for my mother and I have faced this problem.I request you all please don't buy this mobile or any mobile from Amazon... You can all face the same problem as we have faced....In logo paiso ki koi kadar nahi he. Ek person mehnat krk paisa kamata he or ye logo haram ki khane ki padi he.Kl se inke kisi family member ko gift de rahe he or problem ho ink sath bhi....tb inko pta padega.Meri batdua he in sbko ink sath isse bhi worst hona chahiye.....inka paisa or kisi chiz me nikalna chahiye.IF YOU WANT TO THIS PRODUCT OR ANY OTHER PRODUCT I RECOMMEND TO GO TO  THE GOOD MOBILE SHOP AND PURCHASE IT.....DON'T PUT YOURSELF IN THIS TRAP.Thank you
",1
"
Not up to the standard
","
ordered on 12/10/2022 compared to old Samsung, its not up to that quality and standard. exactly 2 months, on 19/12/2022 display not working, no physical damage, no rough use, no water or liquid entry, suddenly not working, but touch working, can answer calls. not recommended at all.
",1
"
We are ditched
","
Very poor Quality phone has been sent to us . Just in a span of 10 days it start hanging and switch off abruptly . I contact Amazon for this , i got a reply that it's not Amazon liability , just contact samsung , I wish to ask that have i bought this phone from Samsung or Amazon ? who is responsible for sending such a defective set phone ?I need my money back on this phone .
",1
"
DON'T BUY THIS PHONE
","
Bought it after seeing 4 star ratings and good! Reviews. But these days all these high ratings are fraud in India atleast. This phone is an example. Only two months after purchase display hangs and hangs and hangs despite deleting videos, apps and caches. This phone doesn't have screen mirroring facility.  Taking screenshots too could've been easier. Total disappointment and unworthy of money. DON'T PURCHASE.
",1
"
Too slow processor
","
I want this product for normal use.....But the Exynos processor is too slow unable to use the phone properly from day 1 ....I have to report an error to the care for the optimization of the phone.... But their reply is to run the Test.Hence, Facing the same problem even after run a test.
",1
"
Not worth the hype and money - Samsung should look at the design quality of M13
","
I had to replace the phone since it was stopping while playing videos and the touch wasn't working. I got a replacement phone and it has the same problems though touch is slightly better. The video playing either won't stop even if you push back button or will keep stopping intermittently as if buffering even with a 100MBps wifi or mobile data. I had to repair by broken Redmi with no option left and it work wonders.I suggest people can skip this phone for a better one. Samsung should look at the design quality of M13
",1
"
The M series phone have software .
","
The M aeries range software are damaged. Samsung offline store sales person said that Samsung has compromised with quality to give features at this price . The M series phone have software defect.  Paccessing internet and need to restart again &again. The Samsung store person said that no offline store is selling M series due to manufacturing defect.
",1
"
Bad display. Contacts app is very pathetic
","
Display is way way way pathetic and dull. No contrasts...gives a feel that oil is spilled over screen. Phone needs to be operated at very high brightness settings.If you have saved a contact without adding+91 which generally is the case... it's not showing the name of saved contact because you have not saved +91 in your contact details.This kind of problem I am facing for the first time in any phone.Even non smart phones worth rs 2000k will show the name of contact if the main 10 digits are correct.This phone is not displaying contact just because you have saved  0 in place of +91 or just saved the 10 digits....
",1
"
Don't waste your money in this phone.
","
Don't waste your money on this phone. Forget about any app installation. Phone is not working with the pre-installed app. Even I have uninstalled few pre-installed app still phone hanged and not working as a normal phone. I have to restart multiple times for a normal operation. Phone is too slow to operate and full of junks. Phone got hanged if you open the settings. So don't waste your time and money on this phone.
",1
"
Worst mobile
","
The samsung and Amazon both fooled people.This is the first time I have tried to return a mobile and had worst experience with Amazon.Key Issues with mobile: Quickly device getting hot. Very much irritated during calls Battery drainage quicklyWorst Amazon support When I reached the CS support, they asked me to wait for a technical agent visit.  But the assigned technical agent left Amazon for more than year and I ended up co-ordinating with  CS support and that person.Again the next person avoided a personal visit and put me on a Minspect app and verified for few min. (Worst app at all and they promised for a personal visit but ended up on-call check)Again after a new call to the support team, they have agreed for a refund and asked me to update my pan card. But Again a new CS person refused that policy 🙄 🤔I don't know whether the intention of CS support is yo solve customer query or to time pass with us to feel irritated
",1
"
Samsung M13  5G Phone  is not Good. Every  thing is slow .
","
I like  Samsung  but  Samsung M13  5G Phone  is not Good. Every  thing is slow . apps  are not  work  smoothly. So I think  you should  not buy it. Present time Samsung phone quality  is very poor  they should improve it . Present  time  Chinese  companies  phone  work  better  than  Samsung  but I hate Chinese  companies.
",2
"
mediocre laggy device
","
I bought this for my dad who is currently using M21 1st edition. Let me list down pros and consPros:1. 6000 mah battery2. Branded device. Current M21 is already running in android 12 from android 10. So future updates is not an issue. Atleast we can expect 2 major updates.3. Charger included in box (15w)Cons:1. Lag lag lag. Even the UI transition every thing is lagging like hell. I dont know how it passed QC. Basic operations like going to contacts, app view , setting everything lags like hell.2. Device feels heavy due to 6000mah battery3.  very very mediocre camera. Okaish output. I am not expecting output like iphone or samsung premium mobiles. But atleast equal to the competitors like redmi at same price range.4. They should move out of 15w charger to atleast 25w qualcomm support. Due to large battery capacity takes long time to charge device to full.5. Loading web pages with lots of images is going to be a problem. For e.g., some people have google news as default home page. For them its going to be really slow.6. Missing amoled which is thr in current m21.Verdict: If you need a branded device at 11 to 14k budget then go to this device. If not go to redmi 10s or iqoo or poco mobiles as they offer better value of money. As soon as I held the device it felt little bit heavy.
",2
"
Good Buget Smart Phone But *Very Slow*
","
I Ordered This Mobile for My father Just for General Usage and it is Very Good Camera , Sound , Battery all is Very Good But the main Problem is that This Phone is Very Slow. all apps take so much time to open and all over processing is SlowCamera 3.5/5Sound 4/5Build Quality 4/5Processor 2.5/5Fingerprint Sensor 4/5
",2
"
Photo hanging all time
","
Photo hanging all time and very slow. Camera is stuck with the last image taken and not moving back and forth
",2
"
Features are not as expected
","
Auto Brightness is not working properlyPhone hangs when watching videos in YouTube.Poor performance of the ramOverall the UX User Experience is not good
",2
"
Performance
","
Samsung Galaxy M13 5G offers an amazing PLS LCD-type display. It has a size of 6.5-inches and produces amazing visuals through its 270ppi pixel density and 1600x 720 pixels density. It also has a 90Hz refresh rate that ensures a smooth scrolling experience...Totally...it'd Very  Superb
",2
"
Internet and system
","
Internet not working,battery quick drying, system is very poor,look not bad,fingerprint not bad,jio network problem,phone is Vodafone operator,
",2
"
Very slow and oversized phone.
","
Fingerprint  works slowly. Sometimes YouTube stop abruptly. You must buying it for your parents but I suggest you to buy RedMi or realme. Because it is too slow.
",2
"
No sensation in vicinity, no gesture emergency light on like Motorola, rather slow ...
","
No sensors in vicinity, no gesture flashlight on like Motorola and slow
",2
"
Camera is very poor
","
Overall phone is ok, but camera quality is not good
",2
"
Good
","
👍
",3
"
Best for battery
","
Battery life is longer than any other phone in this price.Processor is not that good in performance.In low budget it is good product
",3
"
Very good mobile
","
Very good mobile
",3
"
Not some basic features
","
Costly and no screen mirroring feature please add if possible and anight camera very bad and say light camera is good
",3
"
Average quality
","
Quality is average. As we compare with others brands smartphone at this price range they give better specifications
",3
"
Okey according to price
","
Worst packaging from AmazonSmartphone packed in a ordinary long cover .Phone is okay according to the priceDecent camera2day battery backup in extreme usageNegative sideLot of bugs in software side proximity and tap to wake up not working all time may be solved by updatesOverall phone is good for basic users
",3
"
CAUTION:PLS READ ND THEN THINK TO BUY
","
Don't buy it...I have bought phn from Amazon thrice...but in previous 2times there was no issue...now in the 3rd time I have bought this phn everything is alright but YouTube is lagging very much...so I went to the app and tried to return the phn...but Amazon didn't allow me to return the product as they were suggesting to book an appointment with their technician but they didn't have any technician present in this 1 week return time...so that's why I can't return the product now I have to use it...don't know whether it will show any more lags on other apps☹️☹️☹️so guys may be the price is low nd the offer seems good but I would again suggest u to think again before buying any phn not only this
",3
"
Not sure why phone is not getting charged.
","
Overall phone is good ...but getting charging issue within short time..
",3
"
Device performance
","
battery life, fingerprint reader are good. But there is lot of noise while taking foto in low light condition.One must also look the performance of the device. For the price range it's ok but there is drop in performance and frame rate while scrolling through Google news and youtube. Not only these there are lots of lag while using. I have been using m13 4g for 7 days. If you want to buy then go for the M13 5g model which offer more fluidity since it runs on MT D700 (7nm technology) which is more better performance  the exynos 850. Think carefully while buying.
",3
"
Nyc
","
Ok
",3
"
Good
","
Good
",4
"
Good
","
Good
",4
"
Good phone for the price
","
I have not tried the camera but the rest is good,battery is good. Using it for two days found the phone to be good.
",4
"
Camera
","
Front Camera is not done. And baterry fitted in min 6000 mah
",4
"
Value for money @ rs12,000
","
Need improvement of one ui design.Otherwise good mobile for normal use.
",4
"
Great product under 15000
","
Camera,touch and screen quality is good
",4
"
The Best one
","
The best...
",4
"
Good phone
","
Normal uses best phone
",4
"
According to amount mobile is good
","
Battery life is good but mobile work slowly
",4
"
Some dissatisfied samsung M13 mobile functions
","
Screen double touch to wake on screen not working properly, shortcut screen shot not available like palm/ 3 finger, screen recorder not available.
",4
"
Good 👍
","
I feel very happy battery 🔋 life and camera 📷  quality is very good
",5
"
Good phone for basic usage
","
Like the look of mobile and the performance
",5
"
Very Good product
","
Mention the above are Good to use
",5
"
Thats a afortable and advanced in that price
","
Thats a afortable and advanced in that price
",5
"
Good mobile
","
According to price the product is superb.
",5
"
Good quality phone at decent price
","
Nice phone with decent camera quality.value for money
",5
"
Good one for the price range!
","
Efficient and helpful for the price range. Camera is good. Battery - as of now working fine
",5
"
Super Mobile better that price
","
Good mobile and over all good
",5
"
Best Budget Phone 4G version only
","
With the Amazon deals I got it cheaper than market and Samsung has improved with basic models too, runs fine with no hangs till now.
",5
"
Superb mobile
","
Must buy it. 5star quality of display
",5
"
Worst service provided by Amazon Don't buy this.
","
Please , Don't buy this product ""samsung galaxy M13"" specially from Amazon.This product I have purchased from Amazon, I faced the problem  .....The mobile is being hanged continuously and after inserting the sim the network is not showing........This problem I have discussed with customer care and first of all I wanted to return this product and I wanted to take my refund back but the thing is what they started a process like to send the technician to delivery address and after that the technician called that and we told him to visit our address and he forced not to come on delivery address. According to technician he said he will resolved the issue on call.....one application we installed that he want for testing purpose after that he sent screen-shot on my personal mobile number in that he had selected hardware issue and said that now you can return the product. But the main thing is I am unable to return this because there is no option available for this ...I tried to call the technician again, he is not recieving my call....so called customer care again....... we talked with customer care and what they said we will send the technician again...but we want our refund back but they forced me to send the technician again and repeat the process again.....But why should I do this process again this is not our fault.....I want my refund back.This product I had purchased for my mother and I have faced this problem.I request you all please don't buy this mobile or any mobile from Amazon... You can all face the same problem as we have faced....In logo paiso ki koi kadar nahi he. Ek person mehnat krk paisa kamata he or ye logo haram ki khane ki padi he.Kl se inke kisi family member ko gift de rahe he or problem ho ink sath bhi....tb inko pta padega.Meri batdua he in sbko ink sath isse bhi worst hona chahiye.....inka paisa or kisi chiz me nikalna chahiye.IF YOU WANT TO THIS PRODUCT OR ANY OTHER PRODUCT I RECOMMEND TO GO TO  THE GOOD MOBILE SHOP AND PURCHASE IT.....DON'T PUT YOURSELF IN THIS TRAP.Thank you
",1
"
Not up to the standard
","
ordered on 12/10/2022 compared to old Samsung, its not up to that quality and standard. exactly 2 months, on 19/12/2022 display not working, no physical damage, no rough use, no water or liquid entry, suddenly not working, but touch working, can answer calls. not recommended at all.
",1
"
We are ditched
","
Very poor Quality phone has been sent to us . Just in a span of 10 days it start hanging and switch off abruptly . I contact Amazon for this , i got a reply that it's not Amazon liability , just contact samsung , I wish to ask that have i bought this phone from Samsung or Amazon ? who is responsible for sending such a defective set phone ?I need my money back on this phone .
",1
"
DON'T BUY THIS PHONE
","
Bought it after seeing 4 star ratings and good! Reviews. But these days all these high ratings are fraud in India atleast. This phone is an example. Only two months after purchase display hangs and hangs and hangs despite deleting videos, apps and caches. This phone doesn't have screen mirroring facility.  Taking screenshots too could've been easier. Total disappointment and unworthy of money. DON'T PURCHASE.
",1
"
Too slow processor
","
I want this product for normal use.....But the Exynos processor is too slow unable to use the phone properly from day 1 ....I have to report an error to the care for the optimization of the phone.... But their reply is to run the Test.Hence, Facing the same problem even after run a test.
",1
"
Not worth the hype and money - Samsung should look at the design quality of M13
","
I had to replace the phone since it was stopping while playing videos and the touch wasn't working. I got a replacement phone and it has the same problems though touch is slightly better. The video playing either won't stop even if you push back button or will keep stopping intermittently as if buffering even with a 100MBps wifi or mobile data. I had to repair by broken Redmi with no option left and it work wonders.I suggest people can skip this phone for a better one. Samsung should look at the design quality of M13
",1
"
The M series phone have software .
","
The M aeries range software are damaged. Samsung offline store sales person said that Samsung has compromised with quality to give features at this price . The M series phone have software defect.  Paccessing internet and need to restart again &again. The Samsung store person said that no offline store is selling M series due to manufacturing defect.
",1
"
Bad display. Contacts app is very pathetic
","
Display is way way way pathetic and dull. No contrasts...gives a feel that oil is spilled over screen. Phone needs to be operated at very high brightness settings.If you have saved a contact without adding+91 which generally is the case... it's not showing the name of saved contact because you have not saved +91 in your contact details.This kind of problem I am facing for the first time in any phone.Even non smart phones worth rs 2000k will show the name of contact if the main 10 digits are correct.This phone is not displaying contact just because you have saved  0 in place of +91 or just saved the 10 digits....
",1
"
Don't waste your money in this phone.
","
Don't waste your money on this phone. Forget about any app installation. Phone is not working with the pre-installed app. Even I have uninstalled few pre-installed app still phone hanged and not working as a normal phone. I have to restart multiple times for a normal operation. Phone is too slow to operate and full of junks. Phone got hanged if you open the settings. So don't waste your time and money on this phone.
",1
"
Worst mobile
","
The samsung and Amazon both fooled people.This is the first time I have tried to return a mobile and had worst experience with Amazon.Key Issues with mobile: Quickly device getting hot. Very much irritated during calls Battery drainage quicklyWorst Amazon support When I reached the CS support, they asked me to wait for a technical agent visit.  But the assigned technical agent left Amazon for more than year and I ended up co-ordinating with  CS support and that person.Again the next person avoided a personal visit and put me on a Minspect app and verified for few min. (Worst app at all and they promised for a personal visit but ended up on-call check)Again after a new call to the support team, they have agreed for a refund and asked me to update my pan card. But Again a new CS person refused that policy 🙄 🤔I don't know whether the intention of CS support is yo solve customer query or to time pass with us to feel irritated
",1
"
Samsung M13  5G Phone  is not Good. Every  thing is slow .
","
I like  Samsung  but  Samsung M13  5G Phone  is not Good. Every  thing is slow . apps  are not  work  smoothly. So I think  you should  not buy it. Present time Samsung phone quality  is very poor  they should improve it . Present  time  Chinese  companies  phone  work  better  than  Samsung  but I hate Chinese  companies.
",2
"
mediocre laggy device
","
I bought this for my dad who is currently using M21 1st edition. Let me list down pros and consPros:1. 6000 mah battery2. Branded device. Current M21 is already running in android 12 from android 10. So future updates is not an issue. Atleast we can expect 2 major updates.3. Charger included in box (15w)Cons:1. Lag lag lag. Even the UI transition every thing is lagging like hell. I dont know how it passed QC. Basic operations like going to contacts, app view , setting everything lags like hell.2. Device feels heavy due to 6000mah battery3.  very very mediocre camera. Okaish output. I am not expecting output like iphone or samsung premium mobiles. But atleast equal to the competitors like redmi at same price range.4. They should move out of 15w charger to atleast 25w qualcomm support. Due to large battery capacity takes long time to charge device to full.5. Loading web pages with lots of images is going to be a problem. For e.g., some people have google news as default home page. For them its going to be really slow.6. Missing amoled which is thr in current m21.Verdict: If you need a branded device at 11 to 14k budget then go to this device. If not go to redmi 10s or iqoo or poco mobiles as they offer better value of money. As soon as I held the device it felt little bit heavy.
",2
"
Good Buget Smart Phone But *Very Slow*
","
I Ordered This Mobile for My father Just for General Usage and it is Very Good Camera , Sound , Battery all is Very Good But the main Problem is that This Phone is Very Slow. all apps take so much time to open and all over processing is SlowCamera 3.5/5Sound 4/5Build Quality 4/5Processor 2.5/5Fingerprint Sensor 4/5
",2
"
Photo hanging all time
","
Photo hanging all time and very slow. Camera is stuck with the last image taken and not moving back and forth
",2
"
Features are not as expected
","
Auto Brightness is not working properlyPhone hangs when watching videos in YouTube.Poor performance of the ramOverall the UX User Experience is not good
",2
"
Performance
","
Samsung Galaxy M13 5G offers an amazing PLS LCD-type display. It has a size of 6.5-inches and produces amazing visuals through its 270ppi pixel density and 1600x 720 pixels density. It also has a 90Hz refresh rate that ensures a smooth scrolling experience...Totally...it'd Very  Superb
",2
"
Internet and system
","
Internet not working,battery quick drying, system is very poor,look not bad,fingerprint not bad,jio network problem,phone is Vodafone operator,
",2
"
Very slow and oversized phone.
","
Fingerprint  works slowly. Sometimes YouTube stop abruptly. You must buying it for your parents but I suggest you to buy RedMi or realme. Because it is too slow.
",2
"
No sensation in vicinity, no gesture emergency light on like Motorola, rather slow ...
","
No sensors in vicinity, no gesture flashlight on like Motorola and slow
",2
"
Camera is very poor
","
Overall phone is ok, but camera quality is not good
",2
"
Good
","
👍
",3
"
Best for battery
","
Battery life is longer than any other phone in this price.Processor is not that good in performance.In low budget it is good product
",3
"
Very good mobile
","
Very good mobile
",3
"
Not some basic features
","
Costly and no screen mirroring feature please add if possible and anight camera very bad and say light camera is good
",3
"
Average quality
","
Quality is average. As we compare with others brands smartphone at this price range they give better specifications
",3
"
Okey according to price
","
Worst packaging from AmazonSmartphone packed in a ordinary long cover .Phone is okay according to the priceDecent camera2day battery backup in extreme usageNegative sideLot of bugs in software side proximity and tap to wake up not working all time may be solved by updatesOverall phone is good for basic users
",3
"
CAUTION:PLS READ ND THEN THINK TO BUY
","
Don't buy it...I have bought phn from Amazon thrice...but in previous 2times there was no issue...now in the 3rd time I have bought this phn everything is alright but YouTube is lagging very much...so I went to the app and tried to return the phn...but Amazon didn't allow me to return the product as they were suggesting to book an appointment with their technician but they didn't have any technician present in this 1 week return time...so that's why I can't return the product now I have to use it...don't know whether it will show any more lags on other apps☹️☹️☹️so guys may be the price is low nd the offer seems good but I would again suggest u to think again before buying any phn not only this
",3
"
Not sure why phone is not getting charged.
","
Overall phone is good ...but getting charging issue within short time..
",3
